Quote,Meaning
"HARDEST CHOICE REQUIRES", "THE HARDEST WILL"
"it's hard to see the people you made memories with", "slowly become your memory"
"I am not wrong", "what's wrong is this messed-up world"
"in human society lands are separated", "with borders marking their territories"
"on the right side children", "may starve to death"
"on the left side however idle dregs", "who do nothing have everything"
"wars will only", "lead to despair"
"that despair will", "serve as fuel for this world to burn"
"bro what", "did you do"
"bro what", "did you do"
